      Czas        Ft
         s         N
      5,98      0,34
      6,00     -0,08
      6,02     -0,25
      6,04     -0,28
      6,06     -1,33
      6,08     -0,80
      6,10     -0,56
      6,12     -0,71
      6,14     -0,38
      6,16     -0,61
      6,18     -0,24
      6,20     -0,16
      6,22     -0,15
      6,24      0,15
      6,26      0,41
      6,28      0,37
      6,30      0,54
      6,32      0,13
      6,34      0,04
      6,36      1,13
      6,38      1,00
      6,40      1,26
      6,42      1,98
      6,44      1,68
      6,46      1,23
      6,48      0,84
      6,50      0,40
      6,52      0,11
      6,54      0,01
      6,56      0,40
      6,58      0,68
      6,60      0,64
      6,62      0,64
      6,64      0,43
      6,66     -0,73
      6,68     -1,06
      6,70     -1,25
      6,72     -1,22
      6,74     -0,69
      6,76     -0,30
      6,78      0,17
      6,80      0,22
      6,82     -0,24
      6,84     -0,17
      6,86     -1,10
      6,88     -1,12
      6,90     -0,67
      6,92     -0,73
      6,94     -0,52
      6,96     -0,54
      6,98     -0,44
      7,00     -0,25
      7,02     -0,24
      7,04     -0,05
      7,06      0,28
      7,08      0,35
      7,10      0,39
      7,12      0,44
      7,14      0,01
      7,16      0,54
      7,18      1,12
      7,20      0,72
      7,22      1,90
      7,24      1,82
      7,26      1,40
      7,28      1,02
      7,30      0,55
      7,32      0,29
      7,34     -0,13
      7,36      0,17
      7,38      0,62
      7,40      0,62
      7,42      0,61
      7,44      0,61
      7,46     -0,23
      7,48     -1,04
      7,50     -1,24
      7,52     -1,30
      7,54     -0,92
      7,56     -0,43
      7,58     -0,05
      7,60      0,35
      7,62     -0,24
      7,64     -0,11
      7,66     -0,44
      7,68     -1,38
      7,70     -0,73
      7,72     -0,55
      7,74     -0,67
      7,76     -0,38
      7,78     -0,52
      7,80     -0,21
      7,82     -0,18
      7,84     -0,15
      7,86      0,20
      7,88      0,50
      7,90      0,21
      7,92      0,60
      7,94      0,23
      7,96      0,14
      7,98      1,10
      8,00      0,64
      8,02      1,58
      8,04      1,81
      8,06      1,68
      8,08      1,13
      8,10      0,70
      8,12      0,47
      8,14      0,05
      8,16     -0,10
      8,18      0,58
      8,20      0,65
      8,22      0,60
      8,24      0,59
      8,26      0,30
      8,28     -0,82
      8,30     -1,16
      8,32     -1,34
      8,34     -1,11
      8,36     -0,66
      8,38     -0,18
      8,40      0,23
      8,42      0,02
      8,44     -0,30
      8,46     -0,16
      8,48     -1,17
      8,50     -1,11
      8,52     -0,63
      8,54     -0,86
      8,56     -0,49
      8,58     -0,54
      8,60     -0,38
      8,62     -0,25
      8,64     -0,25
      8,66      0,03
      8,68      0,38
      8,70      0,19
      8,72      0,55
      8,74      0,33
      8,76     -0,12
      8,78      0,88
      8,80      1,06
      8,82      1,04
      8,84      2,02
      8,86      1,83
      8,88      1,44
      8,90      0,87
      8,92      0,63
      8,94      0,07
      8,96     -0,08
      8,98      0,40
      9,00      0,69
      9,02      0,65
      9,04      0,64
      9,06      0,59
      9,08     -0,34
      9,10     -1,19
      9,12     -1,35
      9,14     -1,22
      9,16     -0,89
      9,18     -0,35
      9,20      0,06
      9,22      0,36
      9,24     -0,37
      9,26     -0,23
      9,28     -0,61
      9,30     -1,30
      9,32     -0,76
      9,34     -0,65
      9,36     -0,74
      9,38     -0,43
      9,40     -0,56
      9,42     -0,27
      9,44     -0,25
      9,46     -0,17
      9,48      0,30
      9,50      0,33
      9,52      0,30
      9,54      0,48
      9,56     -0,03
      9,58      0,42
      9,60      1,17
      9,62      0,94
      9,64      1,79
      9,66      1,93
      9,68      1,56
      9,70      1,17
      9,72      0,68
      9,74      0,28
      9,76      0,05
      9,78      0,14
      9,80      0,59
      9,82      0,62
      9,84      0,61
      9,86      0,60
      9,88      0,17
      9,90     -0,86
      9,92     -1,33
      9,94     -1,28
      9,96     -1,16
      9,98     -0,60
     10,00     -0,10
     10,02      0,24
     10,04      0,00
     10,06     -0,29
     10,08     -0,29
     10,10     -1,34
     10,12     -0,92
     10,14     -0,54
     10,16     -0,86
     10,18     -0,41
     10,20     -0,63
     10,22     -0,42
     10,24     -0,32
     10,26     -0,32
     10,28      0,03
     10,30      0,44
     10,32      0,31
     10,34      0,40
     10,36      0,24
     10,38      0,02
     10,40      1,06
     10,42      1,05
     10,44      1,28
     10,46      2,09
     10,48      1,76
     10,50      1,32
     10,52      0,94
     10,54      0,42
     10,56      0,15
     10,58      0,05
     10,60      0,48
     10,62      0,69
     10,64      0,68
     10,66      0,67
     10,68      0,54
     10,70     -0,48
     10,72     -1,12
     10,74     -1,29
     10,76     -1,33
     10,78     -0,80
     10,80     -0,34
     10,82      0,08
     10,84      0,24
     10,86     -0,24
     10,88     -0,17
     10,90     -0,91
     10,92     -1,12
     10,94     -0,64
     10,96     -0,77
     10,98     -0,56
     11,00     -0,52
     11,02     -0,47
     11,04     -0,27
     11,06     -0,27
     11,08     -0,25
     11,10     -0,26
     11,12     -0,03
     11,14      0,36
